# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q006013-1
# text = Aššur-dan šarru dannu šar kiššati šar māt Aššur nibīt Aššur ša x ultu ulla Aššur šumšu ibbû ša x u agâ ṣīru ušatmehu ša x ana šarrūt x māt Aššur rabîš ukīnušu mār Tukulti-apil-Ešarra šar kiššati šar māt Aššur mār Aššur-reša-iši šar kiššati šar māt Aššurma
1	Aššur-dan	Aššur-dan_II	PROPN	RN	Case=Undefined|Gender=M	0	root	0:root	{m}aš-šur-KAL-an
9	inabbû	nabû	VERB	V	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Sg|Person=3|Subordinative=Yes|Tense=Present|Verbstem=G	1	acl:relcl	_	i-na-ab-bu-šu
10	šu	_	PRON	_	Gender=M|Number=Sg|Person=3	9	obj	_	_
11	anhūt	anhūtu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	14	obj	_	an-hu-ut
12	ēkalli	ēkallu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	11	nmod:poss	_	_
13	šuāti	šuāti	DET	IP	Gender=F|Number=Sg|Person=3	12	amod	_	šu-a-ti
14	luddiš	edēšu	VERB	V	Finiteness=Finite|Gender=M|Mood=Precative|Number=Sg|Person=3|Verbstem=D	0	root	0:root	lu-ud-diš
15	x	_	X	u	_	_	_	_	x
16-17	šumī	_	_	_	_	_	_	_	_
16	šum	šumu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Sg	22	obj	_	MU
17	ī	_	PRON	_	Number=Sg|Person=1	16	det	_	_
18	šaṭra	šaṭru	ADJ	AJ	Case=Acc|Gender=M|Number=Sg	16	amod	_	ša-aṭ-ra
19	ana	ana	ADP	PRP	_	20	case	_	a-na
20-21	ašrišu	_	_	_	_	_	_	_	_
20	ašri	ašru	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	22	obl	_	aš-ri-šu
21	šu	_	PRON	_	Gender=M|Number=Sg|Person=3	20	det	_	_
22	lutēr	târu	VERB	V	Finiteness=Finite|Gender=M|Mood=Precative|Number=Sg|Person=3|Verbstem=D	14	conj	_	lu-te-er
23	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	26	nsubj	_	aš-šur
24-25	ikribīšu	_	_	_	_	_	_	_	_
24	ikribī	ikribu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	26	obj	_	ik-ri-bi-šu
25	šu	_	PRON	_	Gender=M|Number=Sg|Person=3	24	det	_	_
26	išemme	šemû	VERB	V	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Sg|Person=3|Tense=Present|Verbstem=G	0	root	0:root	i-še₂₀-me
27	x	_	X	u	_	_	_	_	x

# sent_id = Q006013-12
# text = ša narêya u šumī šaṭru ipaššiṭuma šumšu išaṭṭaru x īnīšu likkalmušu x x sunqu hušahhu bubūtu ana mātišu liddi
1	ša	ša	PRON	DET	_	8	nsubj	_	ša
2-3	narêya	_	_	_	_	_	_	_	_
2	narê	narû	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	8	obj	_	na-re-e-ia
3	ya	_	PRON	_	Number=Sg|Person=1	2	det	_	_
4	u	u	CCONJ	CNJ	_	5	cc	_	u
5-6	šumī	_	_	_	_	_	_	_	_
5	šum	šumu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Sg	2	conj	_	šu-mi
6	ī	_	PRON	_	Number=Sg|Person=1	5	det	_	_
7	šaṭru	šaṭru	ADJ	AJ	Case=Undefined|Gender=M|Number=Sg	5	amod	_	šaṭ-ru
8-9	ipaššiṭuma	_	_	_	_	_	_	_	_
8	ipaššiṭu	pašāṭu	VERB	V	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Sg|Person=3|Subordinative=Yes|Tense=Present|Verbstem=G	0	root	0:root	i-pa-ši-ṭu-ma
9	ma	_	CCONJ	_	_	_	_	_	_
10-11	šumšu	_	_	_	_	_	_	_	_
10	šum	šumu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Sg	12	obj	_	MU-šu
11	šu	_	PRON	_	Gender=M|Number=Sg|Person=3	10	det	_	_
12	išaṭṭaru	šaṭāru	VERB	V	Finiteness=Finite|Gender=Undefined|Mood=Indicative|Number=Sg|Person=3|Subordinative=Yes|Tense=Present|Verbstem=G	8	conj	_	i-ša-ṭa-ru
13	x	_	X	u	_	_	_	_	x
14-15	īnīšu	_	_	_	_	_	_	_	_
14	īnī	īnu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Pl	0	root	0:root	IGI.II.MEŠ-šu
15	šu	_	PRON	_	Gender=M|Number=Sg|Person=3	14	det	_	_
16-17	likkalmušu	_	_	_	_	_	_	_	_
16	likkalmū	nekelmû	VERB	V	Finiteness=Finite|Gender=M|Mood=Precative|Number=Pl|Person=3|Verbstem=N	0	root	0:root	li-ik-kal-mu-šu
17	šu	_	PRON	_	Gender=M|Number=Sg|Person=3	16	obj	_	_
18	x	_	X	u	_	_	_	_	x
19	x	_	X	u	_	_	_	_	x
20	sunqu	sunqu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Free|Number=Sg	26	obj	_	su-un-qu
21	hušahhu	hušahhu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Free|Number=Sg	20	conj	_	hu-ša-a-hu
22	bubūtu	bubūtu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Free|Number=Sg	20	conj	_	bu-bu-tu
23	ana	ana	ADP	PRP	_	24	case	_	a-na
24-25	mātišu	_	_	_	_	_	_	_	_
24	māti	mātu	NOUN	N	Case=Gen|Gender=F|Nounbase=Suffixal|Number=Sg	26	obl	_	KUR-šu
25	šu	_	PRON	_	Gender=M|Number=Sg|Person=3	24	det	_	_
26	liddi	nadû	VERB	V	Finiteness=Finite|Gender=M|Mood=Precative|Number=Sg|Person=3|Verbstem=G	0	root	0:root	li-di

# sent_id = Q006013-13
# text = {ITI}x UD.x.KAM līmu x-dannani ša-pān-ēkalli
1	{ITI}x	_	PROPN	u	_	0	root	0:root	{ITI}x
2	UD.x.KAM	_	ADJ	u	_	1	amod	_	UD.x.KAM
3	līmu	līmu	NOUN	N	Case=Nom|Gender=M|Nounbase=Bound|Number=Sg	0	root	0:root	li-mu
4	x-dannani	x-dannani	PROPN	PN	Gender=M	3	nmod:poss	_	{m}x-dan-na-ni
5	ša-pān-ēkalli	ša-pān-ēkalli	NOUN	N	Case=Undefined|Gender=M|Nounbase=Undefined|Number=Sg	4	appos	_	_
